city_name,city_name_normalized,station_count,primary_station,primary_uic_code,centroid_latitude,centroid_longitude,all_stations
Saint,saint,176,Saint-Brieuc,87473009,46.506435036571425,2.424918325142857,Saint-Agnan; Saint-Agne; Saint-Amand-les-Eaux; Saint-Amand-Longpré; Saint-Amarin; Saint-Amour; Saint-André-de-Corcy; Saint-André-de-Cubzac; Saint-André-le-Gaz; Saint-André-lez-Lille; Saint-Antoine; Saint-Antoine-de-Breuilh; Saint-Antoine-du-Rocher; Saint-Armel; Saint-Astier; Saint-Aubin-sur-Scie; Saint-Aulaire; Saint-Aunès; Saint-Avold; Saint-Ay; Saint-Blaise-la-Roche Poutay; Saint-Bonnet-de-Rochefort; Saint-Brice-sur-Vienne; Saint-Brieuc; Saint-Césaire; Saint-Chamas; Saint-Chamond; Saint-Chély-d'Apcher; Saint-Chéron; Saint-Christophe-Vallon; Saint-Claude; Saint-Cloud; Saint-Cyprien; Saint-Cyprien Arènes; Saint-Cyr-en-Val La Source; Saint-Cyr-l'École; Saint-Denis-de-Pile; Saint-Denis-des-Murs; Saint-Denis-lès-Martel; Saint-Dié-des-Vosges; Saint-Dizier; Saint-Égrève Saint-Robert; Saint-Émilion; Saint-Erme-Outre-et-Ramecourt; Saint-Étienne-de-Montluc; Saint-Étienne-du-Rouvray; Saint-Fargeau-Ponthierry; Saint-Féliu-d'Avall; Saint-Florent-sur-Cher; Saint-Fons; Saint-Gaudens; Saint-Geniès-de-Malgoirès; Saint-Genouph; Saint-Georges-d'Aurac; Saint-Georges-de-Commiers; Saint-Georges-de-Luzençon; Saint-Georges-de-Reneins; Saint-Geours-de-Maremne; Saint-Germain-au-Mont-d'Or; Saint-Germain-des-Fossés; Saint-Germain-du-Puy; Saint-Germain-les-Belles; Saint-Germain-sur-Ille; Saint-Gervais-les-Bains Le Fayet; Saint-Gildas-des-Bois; Saint-Gilles Lycée Haut-Rhin; Saint-Gilles-Croix-de-Vie; Saint-Gratien; Saint-Hilaire-de-Chaléons; Saint-Hilaire-de-Riez; Saint-Hilaire-sur-Helpe; Saint-Jacques-de-la-Lande; Saint-Jean-d'Angély; Saint-Jean-de-Losne; Saint-Jean-de-Maurienne Arvan; Saint-Jean-de-Verges; Saint-Jean-Pied-de-Port; Saint-Jodard; Saint-Jory; Saint-Joseph le Castellas; Saint-Julien-du-Sault; Saint-Julien-en-Genevois; Saint-Junien; Saint-Just-en-Chaussée; Saint-Laurent-d'Aigouze; Saint-Laurent-du-Var; Saint-Laurent-en-Grandvaux; Saint-Léger-sur-Dheune; Saint-Léon-sur-l'Isle; Saint-Léonard-de-Noblat; Saint-Leu-d'Esserent; Saint-Leu-la-Forêt; Saint-Lô; Saint-Lothain; Saint-Loubès; Saint-Louis; Saint-Louis La Chaussée; Saint-Macaire; Saint-Maixent-L'École; Saint-Malo; Saint-Mammès; Saint-Marcel; Saint-Marcel en Dombes; Saint-Marcellin; Saint-Mars-la-Brière; Saint-Martin d'Étampes; Saint-Martin du Touch; Saint-Martin-d'Oney; Saint-Martin-de-Crau; Saint-Martin-du-Mont; Saint-Martin-le-Beau; Saint-Martory; Saint-Mathurin-sur-Loire; Saint-Maurice-de-Beynost; Saint-Médard-d'Eyrans; Saint-Médard-de-Guizières; Saint-Médard-sur-Ille; Saint-Michel Notre-Dame; Saint-Michel-sur-Meurthe; Saint-Michel-sur-Orge; Saint-Nabord; Saint-Nazaire; Saint-Nom-la-Bretèche Forêt de Marly; Saint-Nom-la-Bretèche Forêt de Marly T13; Saint-Omer; Saint-Omer-en-Chaussée; Saint-Ouen; Saint-Ouen-l'Aumône; Saint-Ouen-l'Aumône Liesse; Saint-Ouen-l'Aumône Quartier de l'Église; Saint-Paterne-Racan; Saint-Patrice; Saint-Paul-de-Varax; Saint-Pé-de-Bigorre; Saint-Péray; Saint-Piat; Saint-Pierre-d'Albigny; Saint-Pierre-d'Aurillac; Saint-Pierre-de-Chignac; Saint-Pierre-des-Corps; Saint-Pierre-en-Faucigny; Saint-Pierre-la-Cour; Saint-Pierre-le-Moûtier; Saint-Pierre-Quiberon; Saint-Pierre-sur-Dives; Saint-Pol-sur-Ternoise; Saint-Priest; Saint-Priest-Taurion; Saint-Quentin; Saint-Quentin-Fallavier; Saint-Rambert-d'Albon; Saint-Rambert-en-Bugey; Saint-Raphaël Valescure; Saint-Remy-en-l'Eau; Saint-Roch; Saint-Romain-de-Popey; Saint-Romain-le-Puy; Saint-Rome-de-Cernon; Saint-Saturnin-lès-Avignon; Saint-Savinien; Saint-Saviol; Saint-Sébastien; Saint-Sébastien Frêne Rond; Saint-Sébastien Pas Enchantés; Saint-Seurin-sur-l'Isle; Saint-Sulpice (Tarn); Saint-Sulpice-Laurière; Saint-Symphorien-de-Marmagne; Saint-Thégonnec; Saint-Vallier sur Rhône; Saint-Victor-l'Abbaye; Saint-Victurnien; Saint-Vincent le Château; Saint-Vincent-de-Tyrosse; Saint-Vit; Saint-Yrieix-la-Perche
Pont,pont,14,Pont-Melvez,87473520,48.0935932095511,2.4853623062004178,Pont-à-Mousson; Pont-à-Vendin; Pont-d'Ain; Pont-de-Buis; Pont-de-l'Arche; Pont-de-Veyle; Pont-du-Château; Pont-l'Évêque; Pont-Melvez; Pont-Remy; Pont-Saint-Esprit; Pont-Saint-Vincent; Pont-Sainte-Maxence; Pont-sur-Yonne
Sainte,sainte,11,Sainte-Anne,87476648,46.502721427272725,1.7454197818181818,Sainte-Anne; Sainte-Bazeille; Sainte-Cécile-d'Andorge; Sainte-Colombe; Sainte-Colombe Septveilles; Sainte-Foy-la-Grande; Sainte-Gauburge; Sainte-Geneviève-des-Bois; Sainte-Lizaigne; Sainte-Marthe en Provence; Sainte-Pazanne
Villeneuve,villeneuve,8,Villeneuve-Loubet,87756304,46.72863465,3.1185677625,Villeneuve-la-Comtesse; Villeneuve-la-Guyard; Villeneuve-le-Roi; Villeneuve-lès-Maguelone; Villeneuve-Loubet; Villeneuve-Saint-Georges; Villeneuve-sur-Allier; Villeneuve-sur-Yonne
Lyon,lyon,7,Lyon Part Dieu,87723197,45.75530285714286,4.862442142857142,Lyon Gorge de Loup; Lyon Jean Macé; Lyon Part Dieu; Lyon Perrache; Lyon Saint-Exupéry TGV; Lyon Saint-Paul; Lyon Vaise
Paris,paris,7,Paris Bercy Bourgogne - Pays d'Auvergne,87686667,48.85724057142858,2.3543729999999994,Paris Austerlitz; Paris Bercy Bourgogne - Pays d'Auvergne; Paris Est; Paris Gare de Lyon; Paris Gare du Nord; Paris Montparnasse; Paris Saint-Lazare
Villefranche,villefranche,7,Villefranche - Vernet-les-Bains,87784686,44.56448711428571,2.996237742857143,Villefranche - Vernet-les-Bains; Villefranche-de-Lauragais; Villefranche-de-Rouergue; Villefranche-du-Périgord; Villefranche-sur-Cher; Villefranche-sur-Mer; Villefranche-sur-Saône
Château,chateau,6,Château-Arnoux-Saint-Auban,87751230,46.95954271666667,2.2207247666666663,Château-Arnoux-Saint-Auban; Château-du-Loir; Château-Gaillard; Château-l'Évêque; Château-Renault; Château-Thierry
La Ferté,la ferte,6,La Ferté-Alais,87681452,48.3177253,2.1880056666666667,La Ferté-Alais; La Ferté-Bernard; La Ferté-Imbault; La Ferté-Milon; La Ferté-Saint-Aubin; La Ferté-sous-Jouarre
Port,port,6,Port-Brillet,87478750,44.718674033333336,1.8568918666666667,Port-Brillet; Port-de-Bouc; Port-de-Piles; Port-la-Nouvelle; Port-Sainte-Marie; Port-Vendres
Montreuil,montreuil,5,Montreuil,87382879,48.81743143999999,0.8596299999999999,Montreuil; Montreuil sur Mer; Montreuil-Bellay; Montreuil-sur-Ille; Montreuil-sur-Thérain
Saint-Étienne,saint-etienne,5,Saint-Étienne Bellevue,87726190,45.44188504,4.3871201399999995,Saint-Étienne Bellevue; Saint-Étienne Carnot; Saint-Étienne Châteaucreux; Saint-Étienne La Terrasse; Saint-Étienne Le Clapier
Villers,villers,5,Villers-Bretonneux,87313437,49.415970120000004,2.06707672,Villers-Bretonneux; Villers-Cotterêts; Villers-Saint-Paul; Villers-Saint-Sépulcre; Villers-sur-Mer
Épinay,epinay,5,Épinay - Villetaneuse,87271122,48.86070279999999,2.3210280666666665,Épinay - Villetaneuse; Épinay - Villetaneuse T11; Épinay-sur-Orge; Épinay-sur-Seine; Épinay-sur-Seine T11
Bourg,bourg,4,Bourg-Bruche,87214775,45.652912625,5.268049575,Bourg-Bruche; Bourg-en-Bresse; Bourg-Madame; Bourg-Saint-Maurice
Champagné,champagne,4,Champagne-Ardenne TGV,87171926,48.694194700000004,2.342650325,Champagné; Champagne-Ardenne TGV; Champagne-sur-Oise; Champagne-sur-Seine
Lille,lille,4,Lille Europe,87223263,50.62550660000001,3.06395575,Lille CHR; Lille Europe; Lille Flandres; Lille Porte de Douai
Mulhouse,mulhouse,4,Mulhouse,87182063,47.74606875,7.3156669999999995,Mulhouse; Mulhouse Dornach; Mulhouse Musées; Mulhouse Zu Rhein Tram-Train
Nice,nice,4,Nice,87756056,43.700647,7.2649295,Nice; Nice Pont Michel; Nice Riquier; Nice Saint-Augustin
Nogent,nogent,4,Nogent - Le Perreux,87113746,48.378767795,2.38398542,Nogent - Le Perreux; Nogent-le-Rotrou; Nogent-sur-Seine; Nogent-sur-Vernisson
Besançon,besançon,3,Besançon Franche-Comté TGV,87300863,47.2649173528439,6.003036031687418,Besançon Franche-Comté TGV; Besançon Mouillère; Besançon Viotte
Châteauneuf,chateauneuf,3,Châteauneuf - Bujaleuf,87592105,46.07198879999999,1.3018284333333334,Châteauneuf - Bujaleuf; Châteauneuf-sur-Charente; Châteauneuf-sur-Cher
