origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status
87113001,87281899,2.05,1,979000,EXPLOITE
87113001,87386318,12.24,7,979000,EXPLOITE
87113001,87654798,1.51,0,001379,EXPLOITE
87113217,87113407,0.96,0,990311,EXPLOITE
87113217,87212027,493.42,296,070000,EXPLOITE
87113407,87271411,8.03,4,958000,EXPLOITE
87113514,87113522,1.72,1,991300,EXPLOITE
87113779,87113795,1.86,1,959300,EXPLOITE
87113779,87545251,19.37,11,990000,EXPLOITE
87116012,87116301,33.67,20,002000,EXPLOITE
87116327,87116772,9.92,5,071000,EXPLOITE
87131961,87745000,28.9,17,884000,EXPLOITE
87141002,87141010,1.29,0,078000,RETRANCHE
87141044,87141507,22.66,13,039000,NEUT
87141077,87192427,34.17,20,090000,EXPLOITE
87141135,87185249,125.01,75,042000,EXPLOITE
87141150,87144014,49.86,29,067000,EXPLOITE
87141507,87141127,20.65,12,039000,EXPLOITE
87141507,87141523,0.57,0,039306,NEUT
87144410,87144014,48.4,29,062000,EXPLOITE
87164780,87164798,0.62,0,272316,EXPLOITE
87164780,87271247,3.06,1,963000,EXPLOITE
87164780,87295055,201.6,120,229000,EXPLOITE
87171009,87296012,50.68,30,082000,EXPLOITE
87171553,87171009,29.59,17,074000,EXPLOITE
87171926,87171272,3.67,2,005315,EXPLOITE
87172155,87191007,135.35,81,204000,EXPLOITE
87175240,87192039,64.73,38,089000,EXPLOITE
87175778,87192666,40.95,24,085000,EXPLOITE
87182014,87181222,2.62,1,129000,FERME ND
87182014,87182816,24.22,14,119000,EXPLOITE
87191114,87191742,1.17,0,085306,EXPLOITE
87192039,87191130,22.46,13,180000,EXPLOITE
87192039,87192088,9.01,5,192000,EXPLOITE
87192237,87193359,17.12,10,172000,EXPLOITE
87192658,87194357,19.54,11,218000,NEUT
87194274,87192468,72.88,43,095000,EXPLOITE
87212027,87144014,85.85,51,110000,EXPLOITE
87212027,87212191,0.89,0,110306,EXPLOITE
87212027,87212308,0.55,0,070346,EXPLOITE
87212027,87212464,56.83,34,145000,EXPLOITE
87212118,87213470,56.24,33,146000,EXPLOITE
87212142,87193615,74.88,44,161000,EXPLOITE
87212191,87212308,6.96,4,138000,EXPLOITE
87212241,87338525,5.04,3,141000,EXPLOITE
87212308,87212027,0.14,0,139301,EXPLOITE
87212407,87212415,4.58,2,150000,VS
87213058,87213256,21.91,13,159000,EXPLOITE
87213165,87213108,13.8,8,160000,NEUT
87214056,87214577,33.68,20,111000,EXPLOITE
87215079,87192039,87.65,52,140000,EXPLOITE
87215335,87215459,18.0,10,168000,FERME ND
87271015,87276139,24.35,14,330000,EXPLOITE
87271015,87697318,1.25,0,272953,EXPLOITE
87271023;87271007;87271031,87286005,250.68,150,272000,EXPLOITE
87271023;87271007;87271031,87654798,1.05,0,272306,EXPLOITE
87271122,87313759,116.51,69,325000,EXPLOITE
87271148,87271395,10.68,6,960000,EXPLOITE
87271205,87381848,3.57,2,963506,EXPLOITE
87271585,87276303,20.77,12,232000,EXPLOITE
87276105,87276147,1.42,0,331300,EXPLOITE
87276303,87313387,12.39,7,232000,DEC V
87276493,87276576,10.82,6,315000,EXPLOITE
87281006,87281311,7.07,4,302526,EXPLOITE
87281006,87317305,43.85,26,304000,EXPLOITE
87281899,87384008,0.66,0,979000,EXPLOITE
87282624,87728501,2.49,1,893306,EXPLOITE
87286005,87317305,104.99,62,295000,EXPLOITE
87286096,87286195,8.61,5,292000,EXPLOITE
