origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87111849,87271494,,16,TGV,GTFS,Marne-la-Vallée Chessy,Aéroport Charles de Gaulle 2 TGV,572,gtfs_stop_times
87271494,87111849,,16,TGV,GTFS,Aéroport Charles de Gaulle 2 TGV,Marne-la-Vallée Chessy,572,gtfs_stop_times
87683268,87683243,,7,TRAIN,GTFS,Laroche - Migennes,Joigny,571,gtfs_stop_times
87683243,87683268,,7,TRAIN,GTFS,Joigny,Laroche - Migennes,571,gtfs_stop_times
87581009,87581595,,5,TRAIN,GTFS,Bordeaux Saint-Jean,Cenon,551,gtfs_stop_times
87581595,87581009,,5,TRAIN,GTFS,Cenon,Bordeaux Saint-Jean,551,gtfs_stop_times
87481002,87484006,,40,TGV,GTFS,Nantes,Angers Saint-Laud,410,gtfs_stop_times
87484006,87481002,,40,TGV,GTFS,Angers Saint-Laud,Nantes,410,gtfs_stop_times
87683243,87683003,,17,TRAIN,GTFS,Joigny,Sens,407,gtfs_stop_times
87683003,87683243,,17,TRAIN,GTFS,Sens,Joigny,407,gtfs_stop_times
87391003,87393009,,15,TRAIN,GTFS,Paris Montparnasse Hall 1 - 2,Versailles Chantiers,391,gtfs_stop_times
87393009,87391003,,15,TRAIN,GTFS,Versailles Chantiers,Paris Montparnasse Hall 1 - 2,391,gtfs_stop_times
87394130,87394114,,7,TRAIN,GTFS,Maintenon,Épernon,390,gtfs_stop_times
87394114,87394130,,7,TRAIN,GTFS,Épernon,Maintenon,390,gtfs_stop_times
87313049,87313874,,6,TRAIN,GTFS,Longueau,Amiens,374,gtfs_stop_times
87313874,87313049,,6,TRAIN,GTFS,Amiens,Longueau,374,gtfs_stop_times
87393009,87393314,,22,TRAIN,GTFS,Versailles Chantiers,Rambouillet,363,gtfs_stop_times
87393314,87393009,,22,TRAIN,GTFS,Rambouillet,Versailles Chantiers,363,gtfs_stop_times
87748350,87581009,,4,TRAIN,GTFS,Talence-Médoquine,Bordeaux Saint-Jean,355,gtfs_stop_times
87581009,87748350,,4,TRAIN,GTFS,Bordeaux Saint-Jean,Talence-Médoquine,355,gtfs_stop_times
87686667,87683003,,65,TRAIN,GTFS,Paris Bercy Bourg. Pays d'Auv.,Sens,343,gtfs_stop_times
87683003,87686667,,65,TRAIN,GTFS,Sens,Paris Bercy Bourg. Pays d'Auv.,343,gtfs_stop_times
87111849,87393702,,34,TGV,GTFS,Marne-la-Vallée Chessy,Massy TGV,337,gtfs_stop_times
