origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87111849,87271494,,16,TRAIN,GTFS,Marne-la-Vallée Chessy,Aéroport Charles de Gaulle 2 TGV,653,gtfs_stop_times
87271494,87111849,,16,TRAIN,GTFS,Aéroport Charles de Gaulle 2 TGV,Marne-la-Vallée Chessy,653,gtfs_stop_times
87683268,87683243,,7,TRAIN,GTFS,Laroche - Migennes,Joigny,571,gtfs_stop_times
87683243,87683268,,7,TRAIN,GTFS,Joigny,Laroche - Migennes,571,gtfs_stop_times
87581595,87581009,,5,TRAIN,GTFS,Cenon,Bordeaux Saint-Jean,551,gtfs_stop_times
87581009,87581595,,5,TRAIN,GTFS,Bordeaux Saint-Jean,Cenon,551,gtfs_stop_times
87484006,87481002,,40,TRAIN,GTFS,Angers Saint-Laud,Nantes,498,gtfs_stop_times
87481002,87484006,,40,TRAIN,GTFS,Nantes,Angers Saint-Laud,498,gtfs_stop_times
87319012,87318964,,23,TRAIN,GTFS,Aix-en-Provence TGV,Avignon TGV,427,gtfs_stop_times
87318964,87319012,,23,TRAIN,GTFS,Avignon TGV,Aix-en-Provence TGV,427,gtfs_stop_times
87723197,87722025,,14,TRAIN,GTFS,Lyon Part Dieu,Lyon Perrache,424,gtfs_stop_times
87722025,87723197,,14,TRAIN,GTFS,Lyon Perrache,Lyon Part Dieu,424,gtfs_stop_times
87751008,87319012,,14,TRAIN,GTFS,Marseille Saint-Charles,Aix-en-Provence TGV,414,gtfs_stop_times
87319012,87751008,,14,TRAIN,GTFS,Aix-en-Provence TGV,Marseille Saint-Charles,414,gtfs_stop_times
87683243,87683003,,17,TRAIN,GTFS,Joigny,Sens,407,gtfs_stop_times
87683003,87683243,,17,TRAIN,GTFS,Sens,Joigny,407,gtfs_stop_times
87775007,87773002,,29,TRAIN,GTFS,Nîmes Centre,Montpellier Saint-Roch,403,gtfs_stop_times
87773002,87775007,,29,TRAIN,GTFS,Montpellier Saint-Roch,Nîmes Centre,403,gtfs_stop_times
87583005,87581009,,43,TRAIN,GTFS,Angoulême,Bordeaux Saint-Jean,402,gtfs_stop_times
87581009,87583005,,43,TRAIN,GTFS,Bordeaux Saint-Jean,Angoulême,402,gtfs_stop_times
87391003,87393009,,15,TRAIN,GTFS,Paris Montparnasse Hall 1 - 2,Versailles Chantiers,391,gtfs_stop_times
87393009,87391003,,15,TRAIN,GTFS,Versailles Chantiers,Paris Montparnasse Hall 1 - 2,391,gtfs_stop_times
87394130,87394114,,7,TRAIN,GTFS,Maintenon,Épernon,390,gtfs_stop_times
87394114,87394130,,7,TRAIN,GTFS,Épernon,Maintenon,390,gtfs_stop_times
87583005,87575001,,43,TRAIN,GTFS,Angoulême,Poitiers,379,gtfs_stop_times
87575001,87583005,,43,TRAIN,GTFS,Poitiers,Angoulême,379,gtfs_stop_times
87313049,87313874,,6,TRAIN,GTFS,Longueau,Amiens,374,gtfs_stop_times
87313874,87313049,,6,TRAIN,GTFS,Amiens,Longueau,374,gtfs_stop_times
87393314,87393009,,22,TRAIN,GTFS,Rambouillet,Versailles Chantiers,363,gtfs_stop_times
87393009,87393314,,22,TRAIN,GTFS,Versailles Chantiers,Rambouillet,363,gtfs_stop_times
87111849,87393702,,34,TRAIN,GTFS,Marne-la-Vallée Chessy,Massy TGV,358,gtfs_stop_times
87393702,87111849,,34,TRAIN,GTFS,Massy TGV,Marne-la-Vallée Chessy,358,gtfs_stop_times
87581009,87748350,,4,TRAIN,GTFS,Bordeaux Saint-Jean,Talence-Médoquine,355,gtfs_stop_times
87748350,87581009,,4,TRAIN,GTFS,Talence-Médoquine,Bordeaux Saint-Jean,355,gtfs_stop_times
87683003,87686667,,65,TRAIN,GTFS,Sens,Paris Bercy Bourg. Pays d'Auv.,343,gtfs_stop_times
87686667,87683003,,65,TRAIN,GTFS,Paris Bercy Bourg. Pays d'Auv.,Sens,343,gtfs_stop_times
87734053,87734004,,10,TRAIN,GTFS,Riom - Châtel-Guyon,Clermont-Ferrand,337,gtfs_stop_times
87734004,87734053,,10,TRAIN,GTFS,Clermont-Ferrand,Riom - Châtel-Guyon,337,gtfs_stop_times
87582643,87582668,,4,TRAIN,GTFS,La Teste,Arcachon,328,gtfs_stop_times
87582668,87582643,,4,TRAIN,GTFS,Arcachon,La Teste,328,gtfs_stop_times
87581793,87581751,,3,TRAIN,GTFS,Pessac-Alouette,Pessac,327,gtfs_stop_times
87582478,87582445,,7,TRAIN,GTFS,Biganos Facture,Marcheprime,327,gtfs_stop_times
87581793,87582403,,4,TRAIN,GTFS,Pessac-Alouette,Gazinet - Cestas,327,gtfs_stop_times
87582403,87582445,,11,TRAIN,GTFS,Gazinet - Cestas,Marcheprime,327,gtfs_stop_times
87748350,87581751,,4,TRAIN,GTFS,Talence-Médoquine,Pessac,327,gtfs_stop_times
87582445,87582478,,7,TRAIN,GTFS,Marcheprime,Biganos Facture,327,gtfs_stop_times
87582445,87582403,,11,TRAIN,GTFS,Marcheprime,Gazinet - Cestas,327,gtfs_stop_times
87581751,87748350,,4,TRAIN,GTFS,Pessac,Talence-Médoquine,327,gtfs_stop_times
87582403,87581793,,4,TRAIN,GTFS,Gazinet - Cestas,Pessac-Alouette,327,gtfs_stop_times
87581751,87581793,,3,TRAIN,GTFS,Pessac,Pessac-Alouette,327,gtfs_stop_times
87734053,87732008,,23,TRAIN,GTFS,Riom - Châtel-Guyon,Vichy,324,gtfs_stop_times
87732008,87734053,,23,TRAIN,GTFS,Vichy,Riom - Châtel-Guyon,324,gtfs_stop_times
87582601,87582478,,5,TRAIN,GTFS,Le Teich,Biganos Facture,321,gtfs_stop_times
87582619,87582635,,4,TRAIN,GTFS,Gujan-Mestras,La Hume,321,gtfs_stop_times
87582635,87582643,,3,TRAIN,GTFS,La Hume,La Teste,321,gtfs_stop_times
87582601,87582619,,5,TRAIN,GTFS,Le Teich,Gujan-Mestras,321,gtfs_stop_times
87582478,87582601,,5,TRAIN,GTFS,Biganos Facture,Le Teich,321,gtfs_stop_times
87582619,87582601,,5,TRAIN,GTFS,Gujan-Mestras,Le Teich,321,gtfs_stop_times
87582635,87582619,,4,TRAIN,GTFS,La Hume,Gujan-Mestras,321,gtfs_stop_times
87582643,87582635,,3,TRAIN,GTFS,La Teste,La Hume,321,gtfs_stop_times
87575001,87571240,,35,TRAIN,GTFS,Poitiers,Saint-Pierre-des-Corps,320,gtfs_stop_times
87571240,87575001,,35,TRAIN,GTFS,Saint-Pierre-des-Corps,Poitiers,320,gtfs_stop_times
87781005,87781104,,17,TRAIN,GTFS,Béziers,Narbonne,318,gtfs_stop_times
