origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87271494,87111849,Aéroport Charles de Gaulle 2 TGV,Marne-la-Vallée Chessy,572,11,GTFS_TGV
87111849,87271494,Marne-la-Vallée Chessy,Aéroport Charles de Gaulle 2 TGV,500,11,GTFS_TGV
87481002,87484006,Nantes,Angers Saint-Laud,410,38,GTFS_TGV
87484006,87481002,Angers Saint-Laud,Nantes,354,38,GTFS_TGV
87393702,87111849,Massy TGV,Marne-la-Vallée Chessy,337,29,GTFS_TGV
87581009,87391003,Bordeaux Saint-Jean,Paris Montparnasse,301,136,GTFS_TGV
87471003,87391003,Rennes,Paris Montparnasse,295,92,GTFS_TGV
87391003,87581009,Paris Montparnasse,Bordeaux Saint-Jean,284,135,GTFS_TGV
87111849,87393702,Marne-la-Vallée Chessy,Massy TGV,282,31,GTFS_TGV
87396002,87393702,Le Mans,Massy TGV,271,52,GTFS_TGV
87484006,87396002,Angers Saint-Laud,Le Mans,265,40,GTFS_TGV
87393702,87396002,Massy TGV,Le Mans,265,51,GTFS_TGV
87319012,87318964,Aix-en-Provence TGV,Avignon TGV,254,20,GTFS_TGV
87751008,87319012,Marseille Saint-Charles,Aix-en-Provence TGV,253,11,GTFS_TGV
87391003,87471003,Paris Montparnasse,Rennes,248,89,GTFS_TGV
87111849,87723197,Marne-la-Vallée Chessy,Lyon Part Dieu,238,107,GTFS_TGV
87223263,87271494,Lille Europe,Aéroport Charles de Gaulle 2 TGV,225,56,GTFS_TGV
87581009,87673202,Bordeaux Saint-Jean,Dax,221,73,GTFS_TGV
87396002,87484006,Le Mans,Angers Saint-Laud,216,38,GTFS_TGV
87318964,87319012,Avignon TGV,Aix-en-Provence TGV,210,20,GTFS_TGV
87319012,87751008,Aix-en-Provence TGV,Marseille Saint-Charles,208,12,GTFS_TGV
87673202,87581009,Dax,Bordeaux Saint-Jean,206,78,GTFS_TGV
87396002,87391003,Le Mans,Paris Montparnasse,201,59,GTFS_TGV
87575001,87571240,Poitiers,Saint-Pierre-des-Corps,198,32,GTFS_TGV
87313882,87271494,Haute Picardie TGV,Aéroport Charles de Gaulle 2 TGV,191,30,GTFS_TGV
87723197,87763029,Lyon Part Dieu,Valence TGV Rhône-Alpes Sud,186,38,GTFS_TGV
87723197,87722025,Lyon Part Dieu,Lyon Perrache,184,8,GTFS_TGV
87571240,87393702,Saint-Pierre-des-Corps,Massy TGV,182,56,GTFS_TGV
87722025,87723197,Lyon Perrache,Lyon Part Dieu,181,8,GTFS_TGV
