uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87009696,La Douzillère,la douzillere,La,la,47.338792,0.652962,
87024380,Le Puy-en-Velay Lafayette,le puy-en-velay lafayette,Le Puy-en-Velay Lafayette,le puy-en-velay lafayette,45.043962,3.879959,
87107409,Vignory Centre,vignory centre,Vignory,vignory,48.278352,5.101419,
87107417,Chaumont Hôpital,chaumont hopital,Chaumont,chaumont,48.119882,5.139408,
87107425,Bologne Salle des Fêtes,bologne salle des fetes,Bologne,bologne,48.199737,5.141416,
87107433,Soncourt,soncourt,Soncourt,soncourt,48.252239,5.116971,
87107458,Gudmont-Centre,gudmont-centre,Gudmont-Centre,gudmont-centre,48.342516,5.136969,
87107466,Eurville Mairie,eurville mairie,Eurville,eurville,48.585297,5.03725,
87107474,Saint-Dizier Godard-Jeanson,saint-dizier godard-jeanson,Saint-Dizier Godard-Jeanson,saint-dizier godard-jeanson,48.631407,4.950304,
87107482,Chatonrupt,chatonrupt,Chatonrupt,chatonrupt,48.488599,5.12729,
87107490,Fronville Lotissement,fronville lotissement,Fronville,fronville,48.404662,5.154708,
87107508,Marnaval Église,marnaval eglise,Marnaval,marnaval,48.62535,4.990121,
87108829,Sedan Place Calonne,sedan place calonne,Sedan,sedan,49.699747,4.944245,
87109306,Lille Centre Hospitalier Régional,lille centre hospitalier regional,Lille,lille,50.614297,3.034278,
87110346,Ervy-le-Châtel Halles,ervy-le-chatel halles,Ervy-le-Châtel Halles,ervy-le-chatel halles,48.041674,3.910929,
87110361,Villeneuve-au-Chemin,villeneuve-au-chemin,Villeneuve-au-Chemin,villeneuve-au-chemin,48.089901,3.851317,
87110379,Fays-la-Chapelle,fays-la-chapelle,Fays-la-Chapelle,fays-la-chapelle,48.129696,4.018933,
87111849,Marne-la-Vallée Chessy,marne-la-vallee chessy,Marne-la-Vallée Chessy,marne-la-vallee chessy,48.869898,2.782626,
87111864,Balsièges Bourg,balsieges bourg,Balsièges,balsieges,44.482212,3.456598,
87112326,Carignan Rue de la Paix,carignan rue de la paix,Carignan,carignan,49.635544,5.160862,
87112334,Wé,we,Wé,we,49.641872,5.152617,
87112342,Fromy,fromy,Fromy,fromy,49.596406,5.249472,
87112714,Margut Place Trouslard,margut place trouslard,Margut,margut,49.585292,5.265305,
87112771,Saint-Hilaire-sous-Romilly,saint-hilaire-sous-romilly,Saint-Hilaire-sous-Romilly,saint-hilaire-sous-romilly,48.515721,3.656165,
87113001,Paris Est,paris est,Paris,paris,48.876742,2.358424,
87116012,Gretz-Armainvilliers,gretz-armainvilliers,Gretz-Armainvilliers,gretz-armainvilliers,48.74544,2.728824,
87116137,Longueville,longueville,Longueville,longueville,48.513703,3.249822,
87116517,La Ferté-sous-Jouarre,la ferte-sous-jouarre,La Ferté-sous-Jouarre,la ferte-sous-jouarre,48.95078,3.125466,
87116582,Château-Thierry,chateau-thierry,Château-Thierry,chateau-thierry,49.03814,3.409302,
87117119,Auxon Église,auxon eglise,Auxon,auxon,48.103036,3.918348,
87117440,Martigny-Les-Gerbonvaux Centre,martigny-les-gerbonvaux centre,Martigny-Les-Gerbonvaux,martigny-les-gerbonvaux,48.444816,5.792737,
87117457,Autreville Centre,autreville centre,Autreville,autreville,48.484054,5.849088,
87117465,Allamps E.S.A.T,allamps esat,Allamps,allamps,48.542768,5.796812,
87117499,Hestroff Eglise,hestroff eglise,Hestroff,hestroff,49.262268,6.433667,
87117507,Vaudreching Bernanos,vaudreching bernanos,Vaudreching,vaudreching,49.285029,6.524449,
87117515,Alzing Rue de Brettnach,alzing rue de brettnach,Alzing,alzing,49.278966,6.552207,
87117523,Hargarten-aux-Mines Rue Principale,hargarten-aux-mines rue principale,Hargarten-aux-Mines Rue Principale,hargarten-aux-mines rue principale,49.225295,6.609196,
87117598,Montigny-sur-Chiers Eglise,montigny-sur-chiers eglise,Montigny-sur-Chiers Eglise,montigny-sur-chiers eglise,49.478758,5.669597,
87117606,Lexy Carrefour,lexy carrefour,Lexy,lexy,49.498998,5.727192,
87117689,Hertzing Centre,hertzing centre,Hertzing,hertzing,48.686449,6.950784,
87117697,Bébing Route Nationale,bebing route nationale,Bébing,bebing,48.711668,6.998459,
87117903,Bouilly Mairie,bouilly mairie,Bouilly,bouilly,48.19363,3.998637,
87117911,Chamoy-Carrefour D1/D23,chamoy-carrefour d1d23,Chamoy-Carrefour D1/D23,chamoy-carrefour d1d23,48.11715,3.972907,
87117929,Jeugny Église,jeugny eglise,Jeugny,jeugny,48.130244,4.036081,
87117937,Montigny-les-Monts Mairie,montigny-les-monts mairie,Montigny-les-Monts Mairie,montigny-les-monts mairie,48.103657,3.945731,
87117952,Saint-Jean-de-Bonneval Église,saint-jean-de-bonneval eglise,Saint-Jean-de-Bonneval Église,saint-jean-de-bonneval eglise,48.171745,4.049009,
87117960,Saint-Phal Monument aux Morts,saint-phal monument aux morts,Saint-Phal Monument aux Morts,saint-phal monument aux morts,48.120633,3.996513,
87117978,Villery,villery,Villery,villery,48.171506,4.018561,
87117986,Neuvy-Sautour Route Nationale,neuvy-sautour route nationale,Neuvy-Sautour Route Nationale,neuvy-sautour route nationale,48.042857,3.792901,
87117994,Brienon-sur-Armançon Mairie,brienon-sur-armancon mairie,Brienon-sur-Armançon Mairie,brienon-sur-armancon mairie,47.992025,3.617066,
87118000,Troyes,troyes,Troyes,troyes,48.296069,4.065281,
87118067,Saint-Lyé Eglise,saint-lye eglise,Saint-Lyé Eglise,saint-lye eglise,48.360726,4.004903,
87118075,Payns Mairie,payns mairie,Payns,payns,48.382113,3.977727,
87118083,Savières  Impasse St-Phal,savieres impasse st-phal,Savières  Impasse St-Phal,savieres impasse st-phal,48.41234,3.947353,
87118091,Saint-Mesmin Gare SNCF,saint-mesmin gare sncf,Saint-Mesmin Gare SNCF,saint-mesmin gare sncf,48.438503,3.923669,
87118117,Vallant-Saint-Georges Mairie,vallant-saint-georges mairie,Vallant-Saint-Georges Mairie,vallant-saint-georges mairie,48.469237,3.90388,
87118133,Châtres Salle Polyvalente,chatres salle polyvalente,Châtres,chatres,48.501415,3.853637,
87118141,Maizières-la-Grande-Paroisse Eglise,maizieres-la-grande-paroisse eglise,Maizières-la-Grande-Paroisse Eglise,maizieres-la-grande-paroisse eglise,48.511494,3.786759,
87118158,Romilly-sur-Seine,romilly-sur-seine,Romilly-sur-Seine,romilly-sur-seine,48.514433,3.728887,
87118182,Marnay-sur-Seine,marnay-sur-seine,Marnay-sur-Seine,marnay-sur-seine,48.51271,3.557703,
87118190,Nogent-sur-Seine,nogent-sur-seine,Nogent-sur-Seine,nogent-sur-seine,48.497855,3.493773,
87118257,Vendeuvre,vendeuvre,Vendeuvre,vendeuvre,48.240069,4.467214,
87118299,Bar-sur-Aube,bar-sur-aube,Bar-sur-Aube,bar-sur-aube,48.238559,4.706872,
87118414,Ervy-le-Châtel Gare,ervy-le-chatel gare,Ervy-le-Châtel Gare,ervy-le-chatel gare,48.045045,3.921239,
87130823,Les Cabannes Centre,les cabannes centre,Les,les,42.78486,1.688377,
87130831,Pamiers Centre,pamiers centre,Pamiers,pamiers,43.116033,1.610822,
87130849,Merens-Les-Vals,merens-les-vals,Merens-Les-Vals,merens-les-vals,42.656137,1.836447,
87130880,Le Vernet,le vernet,Le,le,43.184272,1.609749,
87130898,Varilhes Centre,varilhes centre,Varilhes,varilhes,43.044978,1.627614,
87131961,Brion - Montréal-la-Cluse Gare,brion - montreal-la-cluse gare,Brion - Montréal-la-Cluse Gare,brion - montreal-la-cluse gare,46.175774,5.558513,
87134387,Auch Le Seilhan,auch le seilhan,Auch,auch,43.657504,0.59747,
87137158,Tarascon-sur-Ariège Espace Francois Mitterrand,tarascon-sur-ariege espace francois mitterrand,Tarascon-sur-Ariège Espace Francois Mitterrand,tarascon-sur-ariege espace francois mitterrand,42.846536,1.604316,
87138321,Gaillac-d'Aveyron Bourg,gaillac-daveyron bourg,Gaillac-d'Aveyron Bourg,gaillac-daveyron bourg,44.353629,2.92864,
87138339,Severac d'Aveyron Lapanouse,severac daveyron lapanouse,Severac,severac,44.335329,3.031685,
87138362,Onet-le-Château la Roquette,onet-le-chateau la roquette,Onet-le-Château la Roquette,onet-le-chateau la roquette,44.37137,2.632416,
87138370,Loubiere Canabols,loubiere canabols,Loubiere,loubiere,44.378548,2.654099,
87138438,Gaillac-D-Aveyron Lugans,gaillac-d-aveyron lugans,Gaillac-D-Aveyron Lugans,gaillac-d-aveyron lugans,44.364357,2.887366,
87139089,Albias,albias,Albias,albias,44.090527,1.44713,
87139501,Troyes Gare Routière,troyes gare routiere,Troyes,troyes,48.297284,4.064276,
87139527,Barberey-Saint-Sulpice Centre Commercial,barberey-saint-sulpice centre commercial,Barberey-Saint-Sulpice Centre Commercial,barberey-saint-sulpice centre commercial,48.334086,4.023592,
87139535,Barberey-Saint-Sulpice Route d,barberey-saint-sulpice route d,Barberey-Saint-Sulpice Route d,barberey-saint-sulpice route d,48.338838,4.030786,
87139550,Mesgrigny Mairie,mesgrigny mairie,Mesgrigny,mesgrigny,48.486377,3.883707,
87139568,Méry-sur-Seine Hôtel de Ville,mery-sur-seine hotel de ville,Méry-sur-Seine Hôtel de Ville,mery-sur-seine hotel de ville,48.508626,3.88909,
87139584,Maizières-la-Grande-Paroisse Tabac,maizieres-la-grande-paroisse tabac,Maizières-la-Grande-Paroisse Tabac,maizieres-la-grande-paroisse tabac,48.501306,3.780686,
87139659,Troyes Chambre de Commerce,troyes chambre de commerce,Troyes,troyes,48.29088,4.071271,
87139667,Troyes Lombards,troyes lombards,Troyes,troyes,48.278074,4.065859,
87139865,Lirey la Chapelle,lirey la chapelle,Lirey,lirey,48.156896,4.050103,
87139873,Machy,machy,Machy,machy,48.140015,4.044197,
87139907,Coursan-en-Othe RN,coursan-en-othe rn,Coursan-en-Othe RN,coursan-en-othe rn,48.079728,3.830522,
87141002,Nancy,nancy,Nancy,nancy,48.689857,6.174579,
87141010,Jarville-la-Malgrange,jarville-la-malgrange,Jarville-la-Malgrange,jarville-la-malgrange,48.669712,6.202401,
87141036,Foug,foug,Foug,foug,48.679264,5.791265,
87141044,Toul,toul,Toul,toul,48.679011,5.880499,
87141051,Fontenoy-sur-Moselle,fontenoy-sur-moselle,Fontenoy-sur-Moselle,fontenoy-sur-moselle,48.711419,5.980173,
